1, 0.999538, 0.999538, 0.999538, 0.999538
0.999, 0.999076, 0.999076, 0.999076, 0.999076
0.998, 0.998616, 0.998616, 0.998616, 0.998616
0.997, 0.998156, 0.998156, 0.998156, 0.998156
0.996, 0.997698, 0.997698, 0.997698, 0.997698
0.995, 0.99724, 0.99724, 0.99724, 0.997241
0.994, 0.996784, 0.996784, 0.996784, 0.996784
0.993, 0.996329, 0.996329, 0.996328, 0.996329
0.992, 0.995874, 0.995874, 0.995874, 0.995874
0.991, 0.995421, 0.995421, 0.995421, 0.995421
0.99, 0.994968, 0.994968, 0.994968, 0.994968
0.989, 0.994517, 0.994517, 0.994517, 0.994517
0.988, 0.994066, 0.994066, 0.994066, 0.994066
0.987, 0.993617, 0.993617, 0.993617, 0.993617
0.986, 0.993168, 0.993168, 0.993168, 0.993169
0.985, 0.992721, 0.992721, 0.992721, 0.992721
0.984, 0.992274, 0.992274, 0.992274, 0.992275
0.983, 0.991829, 0.991829, 0.991829, 0.991829
0.982, 0.991384, 0.991384, 0.991384, 0.991385
0.981, 0.990941, 0.990941, 0.990941, 0.990941
0.98, 0.990498, 0.990498, 0.990498, 0.990499
0.979, 0.990057, 0.990057, 0.990057, 0.990057
0.978, 0.989616, 0.989616, 0.989616, 0.989617
0.977, 0.989177, 0.989177, 0.989177, 0.989177
0.976, 0.988738, 0.988738, 0.988738, 0.988738
0.975, 0.9883, 0.9883, 0.9883, 0.988301
0.974, 0.987864, 0.987864, 0.987864, 0.987864
0.973, 0.987428, 0.987428, 0.987428, 0.987429
0.972, 0.986994, 0.986994, 0.986994, 0.986994
0.971, 0.98656, 0.98656, 0.98656, 0.986561
0.97, 0.986127, 0.986127, 0.986127, 0.986128
0.969, 0.985696, 0.985696, 0.985696, 0.985696
0.968, 0.985265, 0.985265, 0.985265, 0.985266
0.967, 0.984835, 0.984835, 0.984835, 0.984836
0.966, 0.984407, 0.984407, 0.984407, 0.984407
0.965, 0.983979, 0.983979, 0.983979, 0.98398
0.964, 0.983552, 0.983552, 0.983552, 0.983553
0.963, 0.983126, 0.983126, 0.983126, 0.983127
0.962, 0.982702, 0.982702, 0.982702, 0.982702
0.961, 0.982278, 0.982278, 0.982278, 0.982279
0.96, 0.981855, 0.981855, 0.981855, 0.981856
0.959, 0.981433, 0.981433, 0.981433, 0.981434
0.958, 0.981012, 0.981012, 0.981012, 0.981013
0.957, 0.980593, 0.980593, 0.980593, 0.980593
0.956, 0.980174, 0.980174, 0.980174, 0.980175
0.955, 0.979756, 0.979756, 0.979756, 0.979757
0.954, 0.979339, 0.979339, 0.979339, 0.97934
0.953, 0.978923, 0.978923, 0.978923, 0.978924
